id,deleted,title,purchase_request_id,amount,fx_info,approved_amount,categories,request_reason,invoice,status,occurance,approved_occurance,created,updated,used,decline_reason,request_type,_accounting_id,_department_id,_sub_company_id,budget_item_id,declined_by_id,polymorphic_ctype_id,send_budget_to_user_id,user_id,vendor_id,api_user_id,api_user_company_id,api_company_name,api_company_id
4607,FALSE,covid home test,,22.25,"{""amount"": 69.9, ""currency"": ""ILS""}",,[],before the party and the confrence,/api/requests/4607/invoice.jpg,PENDING,,,2022-01-23 22:55:57.993394 UTC,2022-01-23 22:56:01.247708 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,3202,,3202,14,W.S.C. Sports Technologies Inc.,14
105,FALSE,This is a test request,124,1,{},,[],we must test this system,,PENDING,,,2020-12-01 10:56:02.524352 UTC,2020-12-01 10:56:02.52438 UTC,FALSE,,FUND_REQUEST,,,,,,134,,346,,346,31,Codefresh Inc.,31
5050,FALSE,NYC SKO Trip 1/24-1/27_3,,109,{},,[],Denver International Airport Parking,/api/requests/5050/invoice.jpg,PENDING,,,2022-02-07 19:20:54.180186 UTC,2022-02-07 19:20:58.83019 UTC,FALSE,,REIMBURSEMENT_REQUEST,,554,,,,136,,3393,,3393,81,Zoomin Software Inc,81
5020,FALSE,בדיקה,,21.88,"{""amount"": 70, ""currency"": ""ILS""}",,[],,/api/requests/5020/invoice.jpg,PENDING,,,2022-02-07 07:54:29.645622 UTC,2022-02-07 07:54:32.520401 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,3124,,3124,14,W.S.C. Sports Technologies Inc.,14
5058,FALSE,Americas Sales Swag Account,,10000,{},,[],Swag purchases in Corporate Gift,/api/requests/5058/invoice.pdf,PENDING,,,2022-02-08 01:06:57.613099 UTC,2022-02-08 01:06:59.1976 UTC,FALSE,,FUND_REQUEST,9410,571,,,,134,,2653,19997,2653,83,ControlUp Inc,83
5087,FALSE,POIL103745- Fill in the card ending in 8325- Physical card,,814.38,"{""amount"": 2500, ""currency"": ""ILS""}",,[],POIL103745- Fill in the card ending in 8325- Physical card,,PENDING,,,2022-02-08 15:39:02.030206 UTC,2022-02-08 15:39:02.031544 UTC,FALSE,,FUND_REQUEST,,,,,,134,,2687,1484,2687,44,"JFrog, Inc.",44
2958,FALSE,Data plan for Madrid,,47.96,"{""amount"": 149, ""currency"": ""ILS""}",,[],Data plan for Madrid,/api/requests/2958/invoice.pdf,PENDING,,,2021-11-15 10:27:08.586682 UTC,2021-11-15 10:27:11.053109 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,1787,,1787,14,W.S.C. Sports Technologies Inc.,14
2550,FALSE,Iberia Madrid Flight Check In,,15.31,{},,[],Iberia Madrid Flight Check In,/api/requests/2550/invoice.jpg,PENDING,,,2021-10-30 09:27:56.104927 UTC,2021-10-30 09:27:57.793323 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,388,,388,14,W.S.C. Sports Technologies Inc.,14
5057,FALSE,EMEA Sales Swag Account,,10000,{},,[],Swag purchases on corporate gift,/api/requests/5057/invoice.pdf,PENDING,,,2022-02-08 01:05:47.678134 UTC,2022-02-08 01:05:49.317535 UTC,FALSE,,FUND_REQUEST,9409,571,,,,134,,2653,19997,2653,83,ControlUp Inc,83
5021,FALSE,בדיקה,,43.45,"{""amount"": 139, ""currency"": ""ILS""}",,[],,/api/requests/5021/invoice.jpg,PENDING,,,2022-02-07 07:55:39.289615 UTC,2022-02-07 07:55:42.129634 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,3124,,3124,14,W.S.C. Sports Technologies Inc.,14
2551,FALSE,Covid Test pre flight,,42.74,"{""amount"": 135, ""currency"": ""ILS""}",,[],Covid Test pre flight,/api/requests/2551/invoice.jpg,PENDING,,,2021-10-30 09:29:11.502907 UTC,2021-10-30 09:29:13.150362 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,388,,388,14,W.S.C. Sports Technologies Inc.,14
2549,FALSE,VPN Express Annual License,,99.95,{},,[],VPN Express Annual License,/api/requests/2549/invoice.jpg,PENDING,,,2021-10-30 09:27:02.614421 UTC,2021-10-30 09:27:04.368296 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,388,,388,14,W.S.C. Sports Technologies Inc.,14
1686,FALSE,US Trip - Insurance,,41.76,"{""amount"": 122.23, ""currency"": ""ILS""}",,[],PassportCard Insurance for the US trip,/api/requests/1686/invoice.pdf,PENDING,,,2021-08-28 13:09:26.028926 UTC,2021-08-28 13:09:28.533833 UTC,FALSE,,REIMBURSEMENT_REQUEST,,,,,,136,,153,,153,4,Visitt,4
